Section,Product Name,Chemical Name / Description,CAS Number,Grade / Traceability,Product Code,Pack Size,HSN Code,GST %,Other / Notes
Fine & Research Chemicals,Acetonitrile special,,75-05-8,SG,96502,2.5 L,29269000,18,
Fine & Research Chemicals,"Acetophenone, 99%",,98-86-2,LR,91872,500 ML,29147090,18,
Fine & Research Chemicals,Acetyl acetone,,123-54-6,AR,96113,500 ML,29141990,18,
Fine & Research Chemicals,"Acetyl bromide, 98%",,506-96-7,Synthesis,91972,250 ML,29159070,18,
Fine & Research Chemicals,Acetyl chloride,,75-36-5,Synthesis,92005,500 ML,29159010,18,
Fine & Research Chemicals,2-Acetyl-6-methoxy naphthalene,,3900-45-6,MolBio,92718,1 KG,29141990,18,
Fine & Research Chemicals,Acetylacetone,,123-54-6,LR,91892,500 ML,29141990,18,
Fine & Research Chemicals,Acriflavine hydrochloride,,8063-24-9,LR,91854,100 G,29333990,18,
Fine & Research Chemicals,Acriflavine hydrochloride,,8063-24-9,LR,91854,500 G,29333990,18,
Fine & Research Chemicals,"Acrylamide, 98%",,79-06-1,MolBio,92629,100 G,29241900,18,
Fine & Research Chemicals,"Acrylamide, 98%",,79-06-1,MolBio,93036,500 G,29241900,18,
Fine & Research Chemicals,"Acrylic acid, 98% (stabilized with HQ)",,79-10-7,Synthesis,92038,500 ML,29161100,18,
Fine & Research Chemicals,"Acrylonitrile, 99% (stabilized with MEHQ)",,107-13-1,LR,92424,500 ML,29261000,18,
Fine & Research Chemicals,AD CLEANSE ™,,NA,Sanitizer,97500,100 ML,34022090,18,
Fine & Research Chemicals,AD CLEANSE ™,,,Sanitizer,97500,500 ML,34022090,18,
Fine & Research Chemicals,AD CLEANSE ™,,,Sanitizer,97500,5 L,34022090,18,
Fine & Research Chemicals,AD-CLEAN-Alkaline,,,Detergent,90791,500 ML,34029019,18,
Fine & Research Chemicals,AD-CLEAN-Alkaline,,,Detergent,90791,5 L,34029019,18,
Fine & Research Chemicals,AD-CLEAN-Neutral,,,Detergent,90793,500 ML,34029019,18,
Fine & Research Chemicals,AD-CLEAN-Neutral,,,Detergent,90793,1 L,34029019,18,
Fine & Research Chemicals,AD-CLEAN-Neutral,,,Detergent,90793,5 L,34029019,18,
Fine & Research Chemicals,AD-CLEAN-Phosphate free,,,Detergent,90794,500 ML,34029019,18,
Fine & Research Chemicals,AD-CLEAN-Phosphate free,,,Detergent,90794,5 L,34029019,18,
Fine & Research Chemicals,AD-CLEAN-Power (Hi-Power),,,Detergent,90792,500 ML,34029019,18,
Fine & Research Chemicals,AD-CLEAN-Power (Hi-Power),,,Detergent,90792,5 L,34029019,18,
Fine & Research Chemicals,Adipic acid,,124-04-9,LR,90304,500 G,29171200,18,
Fine & Research Chemicals,AdSolve-C,,,HPLC,90059,1 L,29032200,18,
Fine & Research Chemicals,AdSolve-C,,,HPLC,90059,2.5 L,29032200,18,
Fine & Research Chemicals,AdSolve-C,,,GC,94041,250 ML,29032200,18,
Fine & Research Chemicals,AdSolve-C,,,GC,94041,500 ML,29032200,18,
Fine & Research Chemicals,AdSolve-C,,,GC,94041,1 L,29032200,18,
Fine & Research Chemicals,AdSolve-C,,,AR,91560,500 ML,29031400,18,
Fine & Research Chemicals,AdSolve-C,,,AR,91560,1 L,29031400,18,
Fine & Research Chemicals,AdSolve-C,,,AR,91560,2.5 L,29031400,18,
Fine & Research Chemicals,AdSolve-C,,,LR,91898,500 ML,29032200,18,
Fine & Research Chemicals,AdSolve-C,,,LR,91898,1 L,29032200,18,
Fine & Research Chemicals,AdSolve-C,,,LR,91898,2.5 L,29032200,18,
Fine & Research Chemicals,AdSolve-H,,,HPLC,90045,1 L,27101212,18,
Fine & Research Chemicals,AdSolve-H,,,HPLC,90045,2.5 L,27101212,18,
Fine & Research Chemicals,AdSolve-H,,,AR,90229,500 ML,27101212,18,
Fine & Research Chemicals,AdSolve-H,,,AR,90229,2.5 L,27101212,18,
Fine & Research Chemicals,AdSolve-H,,,LR,90524,500 ML,27101212,18,
Fine & Research Chemicals,AdSolve-H,,,LR,90524,2.5 L,27101212,18,
Fine & Research Chemicals,AdSolve-H,,,LN,94273,500 ML,27101980,18,
